starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 22 15:41:55 2017	1487774515	1	680	682	675
Wed Feb 22 15:41:58 2017	1487774518	1	681	682	681
Wed Feb 22 15:41:59 2017	1487774519	1	682	683	632
Wed Feb 22 15:41:55 2017	1487774515	1	684	685	644
Wed Feb 22 15:42:00 2017	1487774520	2	684	685	661
Wed Feb 22 15:41:44 2017	1487774504	1	685	686	640
Wed Feb 22 15:41:54 2017	1487774514	1	686	688	656
Wed Feb 22 15:42:01 2017	1487774521	1	687	689	677
Wed Feb 22 15:41:57 2017	1487774517	1	687	689	644
Wed Feb 22 15:41:52 2017	1487774512	1	687	689	675
Wed Feb 22 15:42:01 2017	1487774521	1	688	689	663
Wed Feb 22 15:41:54 2017	1487774514	1	688	689	662
Wed Feb 22 15:41:55 2017	1487774515	1	689	690	665
Wed Feb 22 15:41:57 2017	1487774517	1	690	691	682
Wed Feb 22 15:41:58 2017	1487774518	1	690	691	674
Wed Feb 22 15:41:59 2017	1487774519	1	692	693	659
Wed Feb 22 15:41:59 2017	1487774519	1	692	693	664
Wed Feb 22 15:41:59 2017	1487774519	1	693	695	651
Wed Feb 22 15:41:56 2017	1487774516	1	693	695	672
Wed Feb 22 15:41:54 2017	1487774514	1	694	695	667
Wed Feb 22 15:41:56 2017	1487774516	1	694	695	654
Wed Feb 22 15:41:57 2017	1487774517	1	694	696	694
Wed Feb 22 15:42:02 2017	1487774522	1	695	696	680
Wed Feb 22 15:41:45 2017	1487774505	1	696	698	688
Wed Feb 22 15:41:54 2017	1487774514	1	697	698	660
Wed Feb 22 15:41:42 2017	1487774502	2	697	699	670
Wed Feb 22 15:41:58 2017	1487774518	1	699	700	658
Wed Feb 22 15:41:53 2017	1487774513	1	699	700	679
Wed Feb 22 15:41:55 2017	1487774515	1	699	701	679
Wed Feb 22 15:42:00 2017	1487774520	2	699	701	652
Wed Feb 22 15:41:57 2017	1487774517	1	700	702	650
